CUPS;FECHA-HORA;INV / VER;PERIODO TARIFARIO;CONSUMO Wh;GENERACION Wh;
ES0021000008305769EY;2024/07/16 00:00;1;Llano;22;0;
ES0021000008305769EY;2024/07/16 01:00;1;Valle;22;0;
ES0021000008305769EY;2024/07/16 02:00;1;Valle;23;0;
ES0021000008305769EY;2024/07/16 03:00;1;Valle;23;1;
ES0021000008305769EY;2024/07/16 04:00;1;Valle;22;0;
ES0021000008305769EY;2024/07/16 05:00;1;Valle;156;0;
ES0021000008305769EY;2024/07/16 06:00;1;Valle;381;0;
ES0021000008305769EY;2024/07/16 07:00;1;Valle;434;0;
ES0021000008305769EY;2024/07/16 08:00;1;Valle;362;0;
ES0021000008305769EY;2024/07/16 09:00;1;Llano;116;0;
ES0021000008305769EY;2024/07/16 10:00;1;Llano;75;0;
ES0021000008305769EY;2024/07/16 11:00;1;Punta;56;2;
ES0021000008305769EY;2024/07/16 12:00;1;Punta;45;12;
ES0021000008305769EY;2024/07/16 13:00;1;Punta;29;31;
ES0021000008305769EY;2024/07/16 14:00;1;Punta;0;2252;
ES0021000008305769EY;2024/07/16 15:00;1;Llano;0;3239;
ES0021000008305769EY;2024/07/16 16:00;1;Llano;0;3192;
ES0021000008305769EY;2024/07/16 17:00;1;Llano;1;2745;
ES0021000008305769EY;2024/07/16 18:00;1;Llano;0;1861;
ES0021000008305769EY;2024/07/16 19:00;1;Punta;1;1474;
ES0021000008305769EY;2024/07/16 20:00;1;Punta;3;671;
ES0021000008305769EY;2024/07/16 21:00;1;Punta;12;84;
ES0021000008305769EY;2024/07/16 22:00;1;Punta;18;0;
ES0021000008305769EY;2024/07/16 23:00;1;Llano;21;0;
ES0021000008305769EY;2024/07/17 00:00;1;Llano;22;0;
ES0021000008305769EY;2024/07/17 01:00;1;Valle;23;1;
ES0021000008305769EY;2024/07/17 02:00;1;Valle;22;0;
ES0021000008305769EY;2024/07/17 03:00;1;Valle;22;0;
ES0021000008305769EY;2024/07/17 04:00;1;Valle;22;0;
ES0021000008305769EY;2024/07/17 05:00;1;Valle;22;0;
ES0021000008305769EY;2024/07/17 06:00;1;Valle;331;0;
ES0021000008305769EY;2024/07/17 07:00;1;Valle;386;0;
ES0021000008305769EY;2024/07/17 08:00;1;Valle;385;0;
ES0021000008305769EY;2024/07/17 09:00;1;Llano;81;0;
ES0021000008305769EY;2024/07/17 10:00;1;Llano;62;0;
ES0021000008305769EY;2024/07/17 11:00;1;Punta;59;1;
ES0021000008305769EY;2024/07/17 12:00;1;Punta;52;0;
ES0021000008305769EY;2024/07/17 13:00;1;Punta;47;15;
ES0021000008305769EY;2024/07/17 14:00;1;Punta;8;1777;
ES0021000008305769EY;2024/07/17 15:00;1;Llano;0;3076;
ES0021000008305769EY;2024/07/17 16:00;1;Llano;3;2665;
ES0021000008305769EY;2024/07/17 17:00;1;Llano;2;2630;
ES0021000008305769EY;2024/07/17 18:00;1;Llano;0;1486;
ES0021000008305769EY;2024/07/17 19:00;1;Punta;1;1225;
ES0021000008305769EY;2024/07/17 20:00;1;Punta;0;680;
ES0021000008305769EY;2024/07/17 21:00;1;Punta;17;25;
ES0021000008305769EY;2024/07/17 22:00;1;Punta;16;1;
ES0021000008305769EY;2024/07/17 23:00;1;Llano;17;0;
ES0021000008305769EY;2024/07/18 00:00;1;Llano;18;0;
ES0021000008305769EY;2024/07/18 01:00;1;Valle;16;0;
ES0021000008305769EY;2024/07/18 02:00;1;Valle;17;0;
ES0021000008305769EY;2024/07/18 03:00;1;Valle;17;1;
